"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RELIANCE","EQ","26-Apr-2019","       1372.40","       1375.00","       1395.95","       1370.70","       1392.00","       1392.80","       1383.98","    6889444","          9534854405.80","     160625","    2543349","         36.92"
"RELIANCE","EQ","30-Apr-2019","       1392.80","       1396.40","       1396.40","       1366.80","       1392.45","       1392.80","       1384.81","   10217019","         14148587974.70","     210909","    4720683","         46.20"
"RELIANCE","EQ","02-May-2019","       1392.80","       1392.00","       1413.90","       1382.10","       1403.10","       1405.05","       1402.33","    8682505","         12175759293.55","     203263","    3311981","         38.15"
"RELIANCE","EQ","03-May-2019","       1405.05","       1407.95","       1417.50","       1402.65","       1409.90","       1408.85","       1412.19","    6510169","          9193624810.45","     174995","    2762984","         42.44"
"RELIANCE","EQ","06-May-2019","       1408.85","       1398.00","       1402.80","       1378.10","       1382.95","       1384.90","       1392.39","    7237910","         10078024781.25","     151864","    3763775","         52.00"
"RELIANCE","EQ","07-May-2019","       1384.90","       1394.80","       1395.00","       1340.20","       1341.00","       1343.50","       1361.64","    8877095","         12087393002.15","     214252","    4066700","         45.81"
"RELIANCE","EQ","08-May-2019","       1343.50","       1340.00","       1340.00","       1292.20","       1297.75","       1299.45","       1313.10","   14610543","         19185103691.60","     354813","    6922545","         47.38"
"RELIANCE","EQ","09-May-2019","       1299.45","       1288.80","       1288.80","       1251.75","       1253.15","       1256.45","       1265.10","   19507368","         24678759801.85","     389079","    9685998","         49.65"
"RELIANCE","EQ","10-May-2019","       1256.45","       1265.00","       1277.70","       1245.00","       1245.75","       1251.15","       1263.56","   11226831","         14185772328.95","     231193","    3221387","         28.69"
"RELIANCE","EQ","13-May-2019","       1251.15","       1247.90","       1260.80","       1227.50","       1229.90","       1232.05","       1246.96","    8047801","         10035248862.80","     165987","    2507496","         31.16"
"RELIANCE","EQ","14-May-2019","       1232.05","       1236.50","       1269.35","       1231.50","       1267.00","       1260.45","       1252.66","   13001004","         16285800116.85","     237275","    5416017","         41.66"
"RELIANCE","EQ","15-May-2019","       1260.45","       1273.00","       1278.00","       1250.60","       1256.00","       1256.90","       1269.53","   11163801","         14172762818.10","     199165","    5331570","         47.76"
"RELIANCE","EQ","16-May-2019","       1256.90","       1259.95","       1271.90","       1258.10","       1269.20","       1265.35","       1264.70","    6606652","          8355421932.95","     165495","    2695057","         40.79"
"RELIANCE","EQ","17-May-2019","       1265.35","       1267.00","       1276.95","       1252.00","       1269.00","       1267.40","       1268.85","    7898440","         10021920300.90","     153297","    3087049","         39.08"
"RELIANCE","EQ","20-May-2019","       1267.40","       1313.60","       1337.70","       1303.50","       1328.55","       1325.90","       1319.23","   12333937","         16271303255.20","     291230","    6076425","         49.27"
"RELIANCE","EQ","21-May-2019","       1325.90","       1332.20","       1367.00","       1330.05","       1339.90","       1339.80","       1348.00","   13872055","         18699517120.10","     294207","    5712146","         41.18"
