"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ASIANPAINT","EQ","28-Jan-2020","       1788.35","       1794.00","       1794.00","       1773.00","       1780.00","       1779.10","       1780.07","     873291","          1554522884.60","      55125","     400185","         45.82"
"ASIANPAINT","EQ","29-Jan-2020","       1779.10","       1787.00","       1803.85","       1781.00","       1798.00","       1796.95","       1794.76","     873805","          1568267257.50","      55308","     280153","         32.06"
"ASIANPAINT","EQ","30-Jan-2020","       1796.95","       1800.00","       1808.90","       1786.00","       1795.55","       1805.00","       1796.25","    1005975","          1806986275.80","      56855","     447227","         44.46"
"ASIANPAINT","EQ","31-Jan-2020","       1805.00","       1810.00","       1824.00","       1788.70","       1797.00","       1795.65","       1808.22","    1169614","          2114917428.70","      61384","     471814","         40.34"
"ASIANPAINT","EQ","01-Feb-2020","       1795.65","       1802.00","       1817.80","       1747.00","       1759.90","       1755.35","       1789.78","     750220","          1342727161.75","      32832","     182360","         24.31"
"ASIANPAINT","EQ","03-Feb-2020","       1755.35","       1768.80","       1872.90","       1765.00","       1866.65","       1867.65","       1832.22","    2854532","          5230126639.85","     118212","     967520","         33.89"
"ASIANPAINT","EQ","04-Feb-2020","       1867.65","       1870.00","       1896.75","       1855.05","       1896.75","       1891.30","       1877.61","    1830049","          3436113182.95","      90719","     709331","         38.76"
"ASIANPAINT","EQ","05-Feb-2020","       1891.30","       1889.00","       1890.00","       1866.15","       1869.00","       1873.50","       1876.22","    1344016","          2521669515.75","      86175","     582262","         43.32"
"ASIANPAINT","EQ","06-Feb-2020","       1873.50","       1878.00","       1882.40","       1845.00","       1861.00","       1856.80","       1863.89","     995386","          1855288642.10","      59310","     451430","         45.35"
"ASIANPAINT","EQ","07-Feb-2020","       1856.80","       1856.80","       1876.50","       1850.60","       1858.50","       1858.70","       1862.78","     632858","          1178874027.80","      46788","     230652","         36.45"
"ASIANPAINT","EQ","10-Feb-2020","       1858.70","       1867.00","       1872.75","       1837.20","       1869.50","       1869.50","       1859.89","     747711","          1390658492.85","      35773","     295484","         39.52"
"ASIANPAINT","EQ","11-Feb-2020","       1869.50","       1880.00","       1894.50","       1872.75","       1875.00","       1878.10","       1883.38","    1093021","          2058575028.65","      60453","     533842","         48.84"
"ASIANPAINT","EQ","12-Feb-2020","       1878.10","       1880.00","       1916.70","       1878.20","       1893.10","       1893.70","       1901.45","    1616826","          3074317246.95","      63869","     574837","         35.55"
"ASIANPAINT","EQ","13-Feb-2020","       1893.70","       1889.00","       1901.95","       1868.05","       1873.95","       1874.05","       1878.51","     638878","          1200140825.05","      26852","     261292","         40.90"
"ASIANPAINT","EQ","14-Feb-2020","       1874.05","       1876.50","       1899.65","       1870.00","       1877.90","       1877.05","       1884.69","     771464","          1453971747.05","      32866","     289076","         37.47"
"ASIANPAINT","EQ","17-Feb-2020","       1877.05","       1879.90","       1893.50","       1870.60","       1880.25","       1881.40","       1884.02","     676579","          1274689448.65","      26042","     222129","         32.83"
"ASIANPAINT","EQ","18-Feb-2020","       1881.40","       1879.90","       1879.90","       1861.00","       1869.25","       1863.65","       1866.14","     683421","          1275360982.60","      21209","     410863","         60.12"
"ASIANPAINT","EQ","19-Feb-2020","       1863.65","       1870.10","       1892.75","       1851.35","       1889.00","       1884.90","       1869.50","     723351","          1352302765.15","      33694","     311716","         43.09"
"ASIANPAINT","EQ","20-Feb-2020","       1884.90","       1883.00","       1886.00","       1839.05","       1845.25","       1842.25","       1856.96","    1401879","          2603230827.45","      78276","     695622","         49.62"
"ASIANPAINT","EQ","24-Feb-2020","       1842.25","       1845.25","       1853.00","       1814.00","       1820.20","       1818.95","       1833.36","    1310832","          2403233356.70","      70546","     490437","         37.41"
"ASIANPAINT","EQ","25-Feb-2020","       1818.95","       1838.40","       1843.55","       1820.20","       1828.90","       1826.10","       1831.68","     897257","          1643488476.05","      50468","     416455","         46.41"
"ASIANPAINT","EQ","26-Feb-2020","       1826.10","       1826.00","       1845.00","       1820.00","       1825.00","       1826.65","       1832.53","    1909619","          3499430672.20","      77766","    1005773","         52.67"
