"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ADANIPORTS","EQ","23-Sep-2019","        380.70","        394.00","        417.50","        386.10","        411.00","        410.95","        403.49","    6695717","          2701637278.65","     100143","    3275133","         48.91"
"ADANIPORTS","EQ","24-Sep-2019","        410.95","        409.95","        417.50","        403.95","        413.85","        413.85","        412.92","    3112368","          1285168990.70","      72213","    1301464","         41.82"
"ADANIPORTS","EQ","25-Sep-2019","        413.85","        409.30","        417.95","        409.10","        416.00","        414.80","        414.90","    2997555","          1243700213.15","      84469","    1577476","         52.63"
"ADANIPORTS","EQ","26-Sep-2019","        414.80","        412.20","        420.60","        412.00","        418.30","        419.15","        417.40","    8639414","          3606113444.80","     104858","    5006831","         57.95"
"ADANIPORTS","EQ","27-Sep-2019","        419.15","        418.00","        420.50","        406.10","        406.85","        408.60","        413.31","    3789544","          1566239552.40","      57138","    2242140","         59.17"
"ADANIPORTS","EQ","30-Sep-2019","        408.60","        403.00","        415.55","        401.45","        415.00","        413.95","        409.91","    3152658","          1292303567.15","      58876","    1649016","         52.31"
"ADANIPORTS","EQ","01-Oct-2019","        413.95","        415.20","        417.90","        401.60","        405.00","        404.05","        409.86","    2532760","          1038076819.25","      33166","    1094425","         43.21"
"ADANIPORTS","EQ","03-Oct-2019","        404.05","        403.50","        406.20","        398.60","        403.55","        403.90","        401.96","    2619077","          1052764505.55","      47878","    1309062","         49.98"
"ADANIPORTS","EQ","04-Oct-2019","        403.90","        405.50","        407.25","        392.95","        396.00","        394.60","        400.51","    1610595","           645052519.90","      28417","     592311","         36.78"
"ADANIPORTS","EQ","07-Oct-2019","        394.60","        396.00","        400.75","        390.65","        395.40","        395.25","        395.64","    1399825","           553822218.25","      24960","     371765","         26.56"
"ADANIPORTS","EQ","09-Oct-2019","        395.25","        396.35","        402.85","        391.55","        399.80","        400.45","        398.61","    3905912","          1556944752.65","      47923","    2358017","         60.37"
"ADANIPORTS","EQ","10-Oct-2019","        400.45","        397.80","        401.60","        395.60","        400.80","        399.90","        398.34","    3034826","          1208894043.65","      45434","    2043311","         67.33"
